CCC_CODE,GOVT_STAT,OSD_REMARK,CONN_STAT,TYPE,COUNT,OSD
3157101,NO,OSD   ,DD    ,C   ,1,1905.92
3157101,NO,OSD   ,DD    ,C   ,1,1978.46
3157101,NO,OSD   ,DD    ,C   ,1,2197.08
3157101,NO,OSD   ,DD    ,C   ,1,2229.93
3157101,NO,OSD   ,DD    ,C   ,1,2539.17
3157101,NO,OSD   ,DD    ,C   ,1,2576.72
3157101,NO,OSD   ,DD    ,C   ,1,2683.31
3157101,NO,OSD   ,DD    ,C   ,1,2883.4
3157101,NO,OSD   ,DD    ,C   ,1,3668.77
3157101,NO,OSD   ,DD    ,C   ,1,4124.71
3157101,NO,OSD   ,DD    ,C   ,1,4171.9
3157101,NO,OSD   ,DD    ,C   ,1,4545.79
3157101,NO,OSD   ,DD    ,C   ,1,4873.69
3157101,NO,OSD   ,DD    ,C   ,1,4891.2
3157101,NO,OSD   ,DD    ,C   ,1,4924.45
3157101,NO,OSD   ,DD    ,C   ,1,6027.92
3157101,NO,OSD   ,DD    ,C   ,1,6870.18
3157101,NO,OSD   ,DD    ,C   ,1,7844.04
3157101,NO,OSD   ,DD    ,C   ,1,8564.87
3157101,NO,OSD   ,DD    ,C   ,1,8975.73
3157101,NO,OSD   ,DD    ,C   ,1,9732.81
3157101,NO,OSD   ,DD    ,C   ,1,10990.93
3157101,NO,OSD   ,DD    ,C   ,1,11035.18
3157101,NO,OSD   ,DD    ,C   ,1,11703.54
3157101,NO,OSD   ,DD    ,C   ,1,12895.17
3157101,NO,OSD   ,DD    ,C   ,1,15083.53
3157101,NO,OSD   ,DD    ,C   ,1,15116.06
3157101,NO,OSD   ,DD    ,C   ,1,17237.4
3157101,NO,OSD   ,DD    ,C   ,1,18918.77
3157101,NO,OSD   ,DD    ,C   ,1,19252.81
3157101,NO,OSD   ,DD    ,C   ,1,22048.25
3157101,NO,OSD   ,DD    ,C   ,1,33302.91
3157101,NO,OSD   ,DD    ,C   ,1,33425.12
3157101,NO,OSD   ,DD    ,C   ,1,37344.63
3157101,NO,OSD   ,DD    ,C   ,1,55723.89
3157101,NO,OSD   ,DD    ,C   ,1,59880.4
3157101,NO,OSD   ,DD    ,C   ,1,142907.67
3157101,YES,NO_OSD,DD    ,OTH ,1,0
3157101,YES,NO_OSD,DD    ,OTH ,1,0
3157101,NO,NO_OSD,DD    ,C   ,8,0
3157101,YES,NO_OSD,DD    ,OTH ,8,0
3157101,YES,NO_OSD,DD    ,OTH ,1,0.79
3157101,YES,NO_OSD,DD    ,OTH ,1,1.19
3157101,YES,NO_OSD,DD    ,OTH ,1,0
3157101,NO,OSD   ,DD    ,C   ,1,5710.26
3157101,NO,OSD   ,DD    ,C   ,1,7700.55
3157101,NO,OSD   ,DD    ,C   ,1,13693.97
3157101,NO,OSD   ,DD    ,C   ,1,4147.93
3157101,NO,NO_OSD,DD    ,C   ,1,0
3157101,NO,OSD   ,DD    ,C   ,1,9439
3157101,NO,OSD   ,DD    ,C   ,1,35070
3157101,YES,NO_OSD,DD    ,OTH ,1,0
3157101,NO,NO_OSD,DD    ,C   ,1,0
3157101,NO,NO_OSD,DD    ,C   ,763,0
3157101,NO,NO_OSD,DD    ,C   ,1,0.01
3157101,NO,NO_OSD,DD    ,C   ,1,0.12
3157101,NO,NO_OSD,DD    ,C   ,1,0.13
3157101,NO,NO_OSD,DD    ,C   ,1,0.2
3157101,NO,NO_OSD,DD    ,C   ,1,0.26
3157101,NO,NO_OSD,DD    ,C   ,1,0.32
3157101,NO,NO_OSD,DD    ,C   ,1,0.34
3157101,NO,NO_OSD,DD    ,C   ,1,0.49
3157101,NO,NO_OSD,DD    ,C   ,1,0.69
3157101,NO,NO_OSD,DD    ,C   ,1,0.73
3157101,NO,NO_OSD,DD    ,C   ,1,1.53
3157101,NO,NO_OSD,DD    ,C   ,1,1.81
3157101,NO,NO_OSD,DD    ,C   ,1,2.36
3157101,NO,NO_OSD,DD    ,C   ,1,2.42
3157101,NO,NO_OSD,DD    ,C   ,1,2.53
3157101,NO,NO_OSD,DD    ,C   ,1,3.61
3157101,NO,NO_OSD,DD    ,C   ,1,4.07
3157101,NO,NO_OSD,DD    ,C   ,1,8.14
3157101,NO,NO_OSD,DD    ,C   ,1,13
3157101,NO,NO_OSD,DD    ,C   ,1,18.65
3157101,NO,NO_OSD,DD    ,C   ,1,25.98
3157101,NO,NO_OSD,DD    ,C   ,1,37.04
3157101,NO,NO_OSD,DD    ,C   ,1,37.36
3157101,NO,NO_OSD,DD    ,C   ,1,37.62
3157101,NO,NO_OSD,DD    ,C   ,1,41.23
3157101,NO,OSD   ,DD    ,C   ,1,54.04
3157101,NO,OSD   ,DD    ,C   ,1,56.89
3157101,NO,OSD   ,DD    ,C   ,1,65
3157101,NO,OSD   ,DD    ,C   ,1,85
3157101,NO,OSD   ,DD    ,C   ,1,88.01
3157101,NO,OSD   ,DD    ,C   ,1,91.55
3157101,NO,OSD   ,DD    ,C   ,1,94.48
3157101,NO,OSD   ,DD    ,C   ,1,103.91
3157101,NO,OSD   ,DD    ,C   ,1,107.57
3157101,NO,OSD   ,DD    ,C   ,1,108
3157101,NO,OSD   ,DD    ,C   ,1,108.47
3157101,NO,OSD   ,DD    ,C   ,1,116.87
3157101,NO,OSD   ,DD    ,C   ,1,116.99
3157101,NO,OSD   ,DD    ,C   ,1,117.34
3157101,NO,OSD   ,DD    ,C   ,1,118
3157101,NO,OSD   ,DD    ,C   ,1,119
3157101,NO,OSD   ,DD    ,C   ,1,120
3157101,NO,OSD   ,DD    ,C   ,1,123.43
3157101,NO,OSD   ,DD    ,C   ,1,124.66
3157101,NO,OSD   ,DD    ,C   ,1,125.81
3157101,NO,OSD   ,DD    ,C   ,1,131
3157101,NO,OSD   ,DD    ,C   ,1,139.96
3157101,NO,OSD   ,DD    ,C   ,1,156.36
3157101,NO,OSD   ,DD    ,C   ,1,158.1
3157101,NO,OSD   ,DD    ,C   ,1,160.17
3157101,NO,OSD   ,DD    ,C   ,1,170.01
3157101,NO,OSD   ,DD    ,C   ,1,170.9
3157101,NO,OSD   ,DD    ,C   ,1,177.67
3157101,NO,OSD   ,DD    ,C   ,1,178.54
3157101,NO,OSD   ,DD    ,C   ,1,178.96
3157101,NO,OSD   ,DD    ,C   ,1,179
3157101,NO,OSD   ,DD    ,C   ,1,179.42
3157101,NO,OSD   ,DD    ,C   ,1,180
